method,trial,goal_label,goal_x,goal_y,success,collision,collision_count,costmap_failure,time_s,path_dist_m
sensor_fusion,3,wp_08,0.806,-1.226,1,0,0,0,22.76,3.074
sensor_fusion,3,wp_09,-2.726,-2.666,1,0,0,0,30.91,3.564
sensor_fusion,3,wp_10,-4.184,2.323,0,1,1,0,45.26,1.401
lidar_only,1,wp_01,5.21,-0.437,1,1,1,0,62.91,3.527
lidar_only,1,wp_02,3.411,-3.213,0,1,1,0,44.85,1.081
lidar_only,1,wp_03,3.462,-1.62,1,1,1,0,31.27,0.952
lidar_only,1,wp_04,1.611,-0.814,1,0,0,0,15.4,1.945
lidar_only,1,wp_05,-4.098,2.683,1,0,0,0,50.21,6.699
lidar_only,1,wp_06,-1.698,-1.569,0,1,1,0,127.11,3.996
lidar_only,1,wp_07,-2.178,0.42,1,0,0,0,13.04,0.973
lidar_only,1,wp_08,0.806,-1.226,1,0,0,0,21.54,3.074
lidar_only,1,wp_09,-2.726,-2.666,0,1,1,0,86.72,0.939
lidar_only,1,wp_10,-4.184,2.323,1,1,1,0,115.71,5.251
lidar_only,2,wp_01,5.21,-0.437,1,0,0,0,79.3,9.583
lidar_only,2,wp_02,3.411,-3.213,0,1,1,0,49.02,2.069
lidar_only,2,wp_03,3.462,-1.62,1,0,0,0,21.53,0.316
lidar_only,2,wp_04,1.611,-0.814,1,0,0,0,17.41,2.042
lidar_only,2,wp_05,-4.098,2.683,1,0,0,0,51.4,6.7
lidar_only,2,wp_06,-1.698,-1.569,0,1,1,0,120.06,4.224
lidar_only,2,wp_07,-2.178,0.42,1,0,0,0,34.51,1.123
lidar_only,2,wp_08,0.806,-1.226,1,0,0,0,22.03,3.071
lidar_only,2,wp_09,-2.726,-2.666,0,1,1,0,108.93,1.027
lidar_only,2,wp_10,-4.184,2.323,0,1,1,0,82.64,0.36
lidar_only,3,wp_01,5.21,-0.437,0,0,0,1,120.15,5.743
lidar_only,3,wp_02,3.411,-3.213,0,1,2,0,73.12,2.214
lidar_only,3,wp_03,3.462,-1.62,1,0,0,0,31.21,0.28
lidar_only,3,wp_04,1.611,-0.814,1,0,0,0,16.81,1.955
lidar_only,3,wp_05,-4.098,2.683,1,0,0,0,53.49,6.699
lidar_only,3,wp_06,-1.698,-1.569,0,1,1,0,120.25,4.129
lidar_only,3,wp_07,-2.178,0.42,1,0,0,0,20.49,0.993
lidar_only,3,wp_08,0.806,-1.226,1,0,0,0,23.08,3.088
lidar_only,3,wp_09,-2.726,-2.666,0,1,2,0,105.51,1.666
lidar_only,3,wp_10,-4.184,2.323,0,1,1,0,26.5,0.0
