method,trial,goal_label,goal_x,goal_y,success,collision,collision_count,costmap_failure,time_s,path_dist_m
rtabmap,1,wp_01,5.21,-0.437,1,0,0,0,40.75,3.849
rtabmap,1,wp_02,3.411,-3.213,1,0,0,0,32.48,3.297
rtabmap,1,wp_03,3.462,-1.62,1,0,0,0,23.9,1.522
rtabmap,1,wp_04,1.611,-0.814,1,0,0,0,16.06,1.856
rtabmap,1,wp_05,-4.098,2.683,1,0,0,0,48.6,6.717
rtabmap,1,wp_06,-1.698,-1.569,1,0,0,0,66.77,5.102
rtabmap,1,wp_07,-2.178,0.42,1,0,0,0,38.84,2.119
rtabmap,1,wp_08,0.806,-1.226,1,0,0,0,18.71,3.074
rtabmap,1,wp_09,-2.726,-2.666,1,0,0,0,25.2,3.546
rtabmap,1,wp_10,-4.184,2.323,1,0,0,0,65.0,5.352
rtabmap,2,wp_01,5.21,-0.437,1,0,0,0,75.37,9.576
rtabmap,2,wp_02,3.411,-3.213,1,0,0,0,31.85,3.299
rtabmap,2,wp_03,3.462,-1.62,1,0,0,0,23.74,1.521
rtabmap,2,wp_04,1.611,-0.814,1,0,0,0,16.15,1.85
rtabmap,2,wp_05,-4.098,2.683,1,0,0,0,48.18,6.719
rtabmap,2,wp_06,-1.698,-1.569,1,0,0,0,67.64,5.097
rtabmap,2,wp_07,-2.178,0.42,1,0,0,0,40.07,2.114
rtabmap,2,wp_08,0.806,-1.226,1,0,0,0,20.9,3.074
rtabmap,2,wp_09,-2.726,-2.666,1,0,0,0,28.8,3.564
rtabmap,2,wp_10,-4.184,2.323,1,0,0,0,68.21,5.361
rtabmap,3,wp_01,5.21,-0.437,1,0,0,0,75.09,9.574
rtabmap,3,wp_02,3.411,-3.213,1,0,0,0,31.71,3.298
rtabmap,3,wp_03,3.462,-1.62,1,0,0,0,23.6,1.513
rtabmap,3,wp_04,1.611,-0.814,1,0,0,0,16.52,1.848
rtabmap,3,wp_05,-4.098,2.683,1,0,0,0,49.6,6.705
rtabmap,3,wp_06,-1.698,-1.569,1,0,0,0,67.32,5.09
rtabmap,3,wp_07,-2.178,0.42,1,0,0,0,40.38,2.106
rtabmap,3,wp_08,0.806,-1.226,1,0,0,0,20.66,3.074
rtabmap,3,wp_09,-2.726,-2.666,1,0,0,0,28.99,3.565
rtabmap,3,wp_10,-4.184,2.323,1,0,0,0,67.87,5.365
sensor_fusion,1,wp_01,5.21,-0.437,1,0,0,0,25.59,3.859
sensor_fusion,1,wp_02,3.411,-3.213,1,0,0,0,22.04,3.286
sensor_fusion,1,wp_03,3.462,-1.62,1,0,0,0,23.41,1.495
sensor_fusion,1,wp_04,1.611,-0.814,1,0,0,0,12.28,1.841
sensor_fusion,1,wp_05,-4.098,2.683,1,0,0,0,38.53,6.691
sensor_fusion,1,wp_06,-1.698,-1.569,0,1,1,0,120.31,4.066
sensor_fusion,1,wp_07,-2.178,0.42,1,0,0,0,34.35,0.949
sensor_fusion,1,wp_08,0.806,-1.226,1,0,0,0,31.42,3.1
sensor_fusion,1,wp_09,-2.726,-2.666,1,0,0,0,31.87,3.552
sensor_fusion,1,wp_10,-4.184,2.323,0,1,1,0,46.99,1.396
sensor_fusion,2,wp_01,5.21,-0.437,1,1,1,0,79.15,6.953
sensor_fusion,2,wp_02,3.411,-3.213,1,0,0,0,34.2,3.287
sensor_fusion,2,wp_03,3.462,-1.62,1,0,0,0,28.57,1.5
sensor_fusion,2,wp_04,1.611,-0.814,1,0,0,0,17.13,1.841
sensor_fusion,2,wp_05,-4.098,2.683,1,0,0,0,53.12,6.69
sensor_fusion,2,wp_06,-1.698,-1.569,0,1,1,0,73.47,4.134
sensor_fusion,2,wp_07,-2.178,0.42,1,1,1,0,37.13,1.012
sensor_fusion,2,wp_08,0.806,-1.226,1,0,0,0,22.9,3.074
sensor_fusion,2,wp_09,-2.726,-2.666,1,0,0,0,30.59,3.559
sensor_fusion,2,wp_10,-4.184,2.323,0,1,1,0,56.35,1.608
sensor_fusion,3,wp_01,5.21,-0.437,1,1,1,0,77.82,6.7
sensor_fusion,3,wp_02,3.411,-3.213,1,0,0,0,35.03,3.279
sensor_fusion,3,wp_03,3.462,-1.62,1,0,0,0,27.14,1.492
sensor_fusion,3,wp_04,1.611,-0.814,1,0,0,0,17.79,1.849
sensor_fusion,3,wp_05,-4.098,2.683,1,0,0,0,53.05,6.692
sensor_fusion,3,wp_06,-1.698,-1.569,0,1,1,0,90.28,4.122
sensor_fusion,3,wp_07,-2.178,0.42,1,1,1,0,35.22,0.976
